Type Document,Titre,Référence,Premier Auteur,Type de verre,Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Ce,Pr,Nd,S_autres_TR,Th,U,Pu,Np,Am,Cm,S_autres_An,Somme,Densité,Homogénéité,B_IV,Irradié,Caractéristiques_si_irradié,Température,Statique_dynamique,Plage_granulométrique_si_poudre,Surface_spécifique_géométrique_si_poudre,Surface_spécifique_BET_si_poudre,Qualité_de_polissage_si_monolithe,Masse_du_verre,Surface_du_verre_S,Volume_de_la_solution_V,Débit_de_la_solution,pH_initial_T_amb,pH_initial_T_essai,Composition_de_la_solution,Durée_de_l_expérience,pH_final_T_amb,pH_final_T_essai,Normalisation_de_la_vitesse_Sgeo_ou_SBET,V0_Si_ou_r0_Si,r2_Si,Ordonnée_à_l_origine_Si,V0_B_ou_r0_B,Ordonnée_à_l_origine_B,V0_Na_ou_r0_Na,r2_Na,Ordonnée_à_l_origine_Na,V0_ΔM_ou_r0_ΔM,Congruence
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NBS12/28_test2,0,15.61,60.79,6.54,0,0,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,2.462,homogeneous,43,Not available,Not available,90,static mode,40-63,37.6,Not available,Not available,0.08,37.6,0.999,Not available,Not available,9,Deionized water + LiOH,0.7,Not available,9.0,Sgeo,202,0.995,0.6,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NBS36/21,0,12.12,54.05,21.19,0,0,12.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.537,homogeneous,63,Not available,Not available,90,static,Not available,Not available,Not available,up to 0.05 µm diamond suspension,1.986,6.18,1.017,Not available,Not available,9,Deionized water + LiOH,0.4,Not available,9.5,Sgeo,47370,0.986,-31.2,Not available,Not available,Not available,Not available,Not available,49048,1.2 ± 0.1
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NBS31/15,0,9.08,55.8,18.71,0,0,16.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.538,homogeneous,78,Not available,Not available,90,static,Not available,Not available,Not available,up to 0.05 µm diamond suspension,1.721,5.51,1.009,Not available,Not available,9,Deionized water + LiOH,0.4,Not available,9.1,Sgeo,2070,0.999,3.8,Not available,Not available,Not available,Not available,Not available,2756,1.1 ± 0.1
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NSAC19_test1,1.24,0,57.24,12.42,0,6.47,18.08,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,2.591,homogeneous,Not available,Not available,Not available,90,Static,20-40,Not available,Not available,Not available,0.165,132,0.49,Not available,Not available,9,Deionized water + LiOH,4.1,Not available,8.8,Sgeo,5.6,0.998,0.05,Not available,Not available,Not available,Not available,Not available,Not available,n.d.
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NSAC19_test2,1.24,0,57.24,12.42,0,6.47,18.08,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,2.591,homogeneous,Not available,Not available,Not available,90,Static,100-125,Not available,Not available,Not available,0.259,54.4,0.488,Not available,Not available,9,Deionized water + LiOH,3.8,Not available,9.0,Sgeo,7.2,0.999,-0.1,Not available,Not available,Not available,Not available,Not available,Not available,n.d.
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NSAC19_test3,1.24,0,57.24,12.42,0,6.47,18.08,0,0,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,2.591,homogeneous,Not available,Not available,Not available,90,Static,100-125,Not available,Not available,Not available,0.26,54.6,0.495,Not available,Not available,9,Deionized water + LiOH,5.2,Not available,9.1,Sgeo,5.5,0.984,-0.12,Not available,Not available,Not available,Not available,Not available,Not available,1.2 ± 0.1
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NSAC17_test1,1.16,0,57.6,10.38,0,12.27,14.84,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.569,homogeneous,Not available,Not available,Not available,90,Static,20-40,Not available,Not available,Not available,0.11,87.9,0.488,Not available,Not available,9,Deionized water + LiOH,4.1,Not available,8.8,Sgeo,9.8,0.997,0.2,Not available,Not available,Not available,Not available,Not available,Not available,n.d.
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NSAC17_test2,1.16,0,57.6,10.38,0,12.27,14.84,0,0,3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.569,homogeneous,Not available,Not available,Not available,90,Static,100-125,Not available,Not available,Not available,0.259,54.4,0.486,Not available,Not available,9,Deionized water + LiOH,5.2,Not available,9.0,Sgeo,5.0,0.996,-0.03,Not available,Not available,Not available,Not available,Not available,Not available,1.0 ± 0.1
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NSAC21_test1,0,0,0,33.49,0,9.28,45.13,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.01,2.592,homogeneous,Not available,Not available,Not available,90,static,20-40,69.9,Not available,Not available,0.087,69.9,0.509,Not available,Not available,9,Deionized water + LiOH,6.7,Not available,8.8,Sgeo,7.4,0.998,0.1,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NSAC21_test2,0,0,0,33.49,0,9.28,45.13,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.01,2.592,homogeneous,Not available,Not available,Not available,90,static,20-40,69.4,Not available,Not available,0.087,69.4,0.478,Not available,Not available,9,Deionized water + LiOH,6.2,Not available,9.0,Sgeo,6.1,0.998,-0.1,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NSAC21_test3,0,0,0,33.49,0,9.28,45.13,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.01,2.592,homogeneous,Not available,Not available,Not available,90,static,63-125,66.8,Not available,Not available,0.262,66.8,0.483,Not available,Not available,9,Deionized water + LiOH,6.2,Not available,9.0,Sgeo,4.5,0.992,0.0,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NSAC21_test4,0,0,0,33.49,0,9.28,45.13,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.01,2.592,homogeneous,Not available,Not available,Not available,90,static,100-125,54.8,Not available,Not available,0.261,54.8,0.493,Not available,Not available,9,Deionized water + LiOH,3.8,Not available,9.0,Sgeo,7.2,1.0,-0.01,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NSAC21_test5,0,0,0,33.49,0,9.28,45.13,0,0,12.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.01,2.592,homogeneous,Not available,Not available,Not available,90,static,100-125,54.8,Not available,Not available,0.261,54.8,0.49,Not available,Not available,9,Deionized water + LiOH,5.0,Not available,9.1,Sgeo,4.6,0.974,-0.03,Not available,Not available,Not available,Not available,Not available,Not available,1.4
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NSAC0,0,0,0,8.27,0,51.58,40.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.79,homogeneous,Not available,Not available,Not available,90,static,100-125,49.8,Not available,Not available,0.262,49.8,0.487,Not available,Not available,9,Deionized water + LiOH,5.3,Not available,9.1,Sgeo,3.8,0.999,-0.03,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NSAC35,0,0,0,49.26,0,9.74,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.522,homogeneous,Not available,Not available,Not available,90,static mode,100-125,Not available,Not available,Not available,0.26,0.00546,0.000483,Not available,Not available,9,"Deionized water, pH adjusted to 9 with LiOH",5.2,Not available,9.4,Sgeo,1.2,0.997,0.08,Not available,Not available,Not available,Not available,Not available,Not available,145 ± 10
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NSA,0,0,0,20.0,0,20.0,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.34,homogeneous,Not available,Not available,Not available,90,static mode,50-100,Not available,Not available,Not available,0.276,0.00883,0.000482,Not available,Not available,9,"Deionized water, pH adjusted to 9 with LiOH",121,Not available,8.9,Sgeo,0.26,0.995,0.02,Not available,Not available,Not available,Not available,Not available,Not available,n.d.
Article de journal,Evolution of activation energy for boron dissolution in the borosilicate glass during the initial leaching stage,Journal of Non-Crystalline Solids 646 (2024) 123244,Kai Bai,NBS5_test1,0,11.03,60.63,8.39,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.44,Not available,Not available,N,Not available,50,Statique,Not available,Not available,Not available,Polished,Not available,0.00024,36,Not available,Not available,Not available,deionized water saturated with CO2,24,Not available,Not available,Sgeo,0.041,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Article de journal,Evolution of activation energy for boron dissolution in the borosilicate glass during the initial leaching stage,Journal of Non-Crystalline Solids 646 (2024) 123244,Kai Bai,NBS5_test2,0,11.03,60.63,8.39,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.44,Not available,Not available,N,Not available,60,Statique,Not available,Not available,Not available,Polished,Not available,0.00024,36,Not available,Not available,Not available,deionized water saturated with CO2,24,Not available,Not available,Sgeo,0.084,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Article de journal,Evolution of activation energy for boron dissolution in the borosilicate glass during the initial leaching stage,Journal of Non-Crystalline Solids 646 (2024) 123244,Kai Bai,NBS5_test3,0,11.03,60.63,8.39,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.44,Not available,Not available,N,Not available,70,Statique,Not available,Not available,Not available,Polished,Not available,0.00024,36,Not available,Not available,Not available,deionized water saturated with CO2,24,Not available,Not available,Sgeo,0.106,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Article de journal,Evolution of activation energy for boron dissolution in the borosilicate glass during the initial leaching stage,Journal of Non-Crystalline Solids 646 (2024) 123244,Kai Bai,NBS5_test4,0,11.03,60.63,8.39,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.44,Not available,Not available,N,Not available,80,Statique,Not available,Not available,Not available,Polished,Not available,0.00024,36,Not available,Not available,Not available,deionized water saturated with CO2,24,Not available,Not available,Sgeo,0.683,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Article de journal,Evolution of activation energy for boron dissolution in the borosilicate glass during the initial leaching stage,Journal of Non-Crystalline Solids 646 (2024) 123244,Kai Bai,NBS5_test5,0,11.03,60.63,8.39,0,0,19.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.44,Not available,Not available,N,Not available,90,Statique,Not available,Not available,Not available,Polished,Not available,0.00024,36,Not available,Not available,Not available,deionized water saturated with CO2,24,Not available,Not available,Sgeo,1.648,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Article de journal,Evolution of activation energy for boron dissolution in the borosilicate glass during the initial leaching stage,Journal of Non-Crystalline Solids 646 (2024) 123244,Kai Bai,ZNBS1_test1,0,11.66,59.33,10.78,0,0,17.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.51,Not available,Not available,N,Not available,50,Statique,Not available,Not available,Not available,Polished,Not available,0.00024,36,Not available,Not available,Not available,deionized water saturated with CO2,24,Not available,Not available,Sgeo,0.003,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
